Date,Close
5/11/2018 16:00:00,73.37
5/14/2018 16:00:00,73.28
5/15/2018 16:00:00,72.95
5/16/2018 16:00:00,73.53
5/17/2018 16:00:00,73.96
5/18/2018 16:00:00,73.45
5/21/2018 16:00:00,74.06
5/22/2018 16:00:00,74.03
5/23/2018 16:00:00,74.18
5/24/2018 16:00:00,73.77
5/25/2018 16:00:00,74.31
5/29/2018 16:00:00,74.05
5/30/2018 16:00:00,74.89
5/31/2018 16:00:00,73.17
6/1/2018 16:00:00,73.45
6/4/2018 16:00:00,74.18
6/5/2018 16:00:00,73.97
6/6/2018 16:00:00,74.35
6/7/2018 16:00:00,75.76
6/8/2018 16:00:00,77.18
6/11/2018 16:00:00,77.53
6/12/2018 16:00:00,77.24
6/13/2018 16:00:00,76.47
6/14/2018 16:00:00,75.99
6/15/2018 16:00:00,77.38
6/18/2018 16:00:00,75.84
6/19/2018 16:00:00,76.33
6/20/2018 16:00:00,75.85
6/21/2018 16:00:00,76.44
6/22/2018 16:00:00,77.43
6/25/2018 16:00:00,77.79
6/26/2018 16:00:00,78
6/27/2018 16:00:00,77.69
6/28/2018 16:00:00,78.05
6/29/2018 16:00:00,78.06
7/2/2018 16:00:00,78.13
7/3/2018 13:00:00,77.9
7/5/2018 16:00:00,79.21
7/6/2018 16:00:00,79.31
7/9/2018 16:00:00,77.86
7/10/2018 16:00:00,79.82
7/11/2018 16:00:00,79.16
7/12/2018 16:00:00,78.89
7/13/2018 16:00:00,79.31
7/16/2018 16:00:00,79.53
7/17/2018 16:00:00,80.03
7/18/2018 16:00:00,79.72
7/19/2018 16:00:00,78.73
7/20/2018 16:00:00,78.68
7/23/2018 16:00:00,78.51
7/24/2018 16:00:00,78.99
7/25/2018 16:00:00,79.47
7/26/2018 16:00:00,80.09
7/27/2018 16:00:00,80.58
7/30/2018 16:00:00,80.2
7/31/2018 16:00:00,80.88
8/1/2018 16:00:00,80.65
8/2/2018 16:00:00,82
8/3/2018 16:00:00,82.33
8/6/2018 16:00:00,82.52
8/7/2018 16:00:00,82.64
8/8/2018 16:00:00,82.35
8/9/2018 16:00:00,81.4
8/10/2018 16:00:00,81.43
8/13/2018 16:00:00,81.52
8/14/2018 16:00:00,81.31
8/15/2018 16:00:00,82.3
8/16/2018 16:00:00,83.69
8/17/2018 16:00:00,83.69
8/20/2018 16:00:00,83.64
8/21/2018 16:00:00,83.9
8/22/2018 16:00:00,83.39
8/23/2018 16:00:00,83.24
8/24/2018 16:00:00,83.36
8/27/2018 16:00:00,83.44
8/28/2018 16:00:00,83.48
8/29/2018 16:00:00,83.49
8/30/2018 16:00:00,83.41
8/31/2018 16:00:00,82.95
9/4/2018 16:00:00,82.7
9/5/2018 16:00:00,83.29
9/6/2018 16:00:00,82.65
9/7/2018 16:00:00,81.91
9/10/2018 16:00:00,82.38
9/11/2018 16:00:00,82.01
